tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year
2024-1049,Auckland,Hard,32,I,2024-01-01,277,216133,6.0,,Xin Yu Wang,R,182.0,CHN,22.2,201709,,,Yulia Putintseva,R,163.0,KAZ,28.9,6-4 7-5,3,R32,103.0,2.0,2.0,67.0,42.0,29.0,9.0,11.0,1.0,5.0,0.0,0.0,83.0,63.0,36.0,6.0,11.0,7.0,13.0,35.0,1383.0,63.0,1002.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,278,201549,7.0,,Petra Martic,R,181.0,CRO,32.9,214119,,,Rebeka Masarova,R,186.0,ESP,24.4,3-6 6-3 6-3,3,R32,136.0,5.0,2.0,78.0,50.0,30.0,20.0,13.0,4.0,6.0,4.0,4.0,95.0,61.0,38.0,16.0,14.0,8.0,12.0,41.0,1264.0,65.0,982.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,279,206294,,,Yue Yuan,R,184.0,CHN,25.2,215037,,,Kayla Day,L,173.0,USA,24.2,7-6(1) 6-7(5) 6-1,3,R32,174.0,1.0,0.0,109.0,75.0,51.0,22.0,16.0,5.0,8.0,8.0,2.0,118.0,74.0,45.0,22.0,15.0,6.0,11.0,77.0,903.0,89.0,825.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,280,220589,,,Elina Avanesyan,R,,ARM,21.2,222667,,WC,Monique Barry,L,,NZL,21.5,7-6(6) 6-2,3,R32,91.0,0.0,7.0,69.0,47.0,33.0,6.0,10.0,2.0,6.0,0.0,5.0,60.0,35.0,16.0,10.0,10.0,1.0,7.0,74.0,917.0,649.0,62.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,281,215613,4.0,,Emma Navarro,R,,USA,22.6,222258,,,Linda Fruhvirtova,R,,CZE,18.6,2-6 6-4 6-2,3,R32,132.0,2.0,1.0,77.0,52.0,33.0,12.0,13.0,5.0,9.0,4.0,7.0,113.0,69.0,44.0,17.0,13.0,7.0,12.0,31.0,1480.0,88.0,829.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,282,219875,8.0,,Varvara Gracheva,R,,FRA,23.4,206124,,Q,Tereza Martincova,R,178.0,CZE,29.1,6-7(3) 7-5 6-2,3,R32,159.0,4.0,11.0,113.0,75.0,50.0,14.0,16.0,8.0,13.0,2.0,8.0,125.0,91.0,52.0,12.0,16.0,12.0,20.0,42.0,1248.0,156.0,495.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,283,215138,,Q,Lulu Sun,L,,NZL,22.7,220520,,Q,Mccartney Kessler,R,,USA,24.4,6-4 6-3,3,R32,72.0,2.0,2.0,46.0,26.0,21.0,11.0,9.0,2.0,4.0,1.0,4.0,63.0,38.0,22.0,8.0,10.0,3.0,8.0,214.0,362.0,217.0,359.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,284,259104,,Q,Brenda Fruhvirtova,R,,CZE,16.7,215020,,,Anna Blinkova,R,179.0,RUS,25.3,7-5 6-4,3,R32,98.0,1.0,6.0,64.0,44.0,30.0,8.0,11.0,2.0,5.0,2.0,4.0,75.0,54.0,30.0,9.0,11.0,7.0,12.0,117.0,657.0,48.0,1170.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,285,221103,1.0,,Coco Gauff,R,175.0,USA,19.8,214906,,,Claire Liu,R,170.0,USA,23.6,6-4 6-2,3,R32,82.0,3.0,4.0,49.0,32.0,23.0,9.0,9.0,0.0,2.0,1.0,5.0,63.0,47.0,28.0,3.0,9.0,3.0,8.0,3.0,6690.0,95.0,797.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,286,202494,2.0,,Elina Svitolina,R,174.0,UKR,29.3,221054,,WC,Emma Raducanu,R,175.0,GBR,21.1,6-7(5) 7-6(3) 6-1,3,R16,169.0,11.0,3.0,128.0,87.0,56.0,20.0,16.0,9.0,13.0,6.0,6.0,104.0,64.0,39.0,18.0,15.0,8.0,14.0,25.0,1809.0,301.0,231.0,2024
