player_id,overall_elo,grass_elo
264205,1491.79,1500.0
222258,1491.6,1511.5
222081,1491.34,1500.0
206387,1491.28,1500.0
212044,1491.28,1500.0
202672,1491.11,1490.94
205714,1491.08,1500.0
201588,1490.96,1500.0
211225,1490.94,1500.0
214577,1490.9,1500.0
215305,1490.78,1500.0
243420,1490.62,1500.0
222866,1490.56,1500.0
221885,1490.53,1500.0
203562,1490.46,1500.0
206345,1490.13,1500.0
221905,1489.91,1531.75
222145,1489.74,1500.0
211296,1489.55,1500.0
204309,1489.33,1500.0
203325,1489.31,1480.8
236955,1489.3,1500.0
239156,1489.15,1500.0
260847,1489.13,1478.65
214405,1489.12,1491.76
214236,1489.12,1500.0
215946,1488.77,1500.0
220597,1488.76,1500.0
225858,1488.55,1500.0
221945,1488.13,1479.54
204376,1487.98,1500.0
211700,1487.72,1479.89
213889,1487.71,1496.57
214604,1487.7,1500.0
203591,1487.68,1481.96
211864,1487.65,1500.0
220550,1487.57,1500.0
205815,1487.41,1500.0
223360,1487.39,1500.0
210913,1487.37,1500.0
200002,1487.35,1500.0
202671,1487.31,1500.0
211668,1487.3,1480.79
223331,1487.15,1500.0
214919,1486.92,1500.0
219917,1486.88,1453.85
215125,1486.83,1500.0
202694,1486.83,1500.0
201483,1486.79,1432.86
221383,1486.78,1500.0
214818,1486.73,1500.0
223336,1486.67,1500.0
221838,1486.65,1500.0
201682,1486.46,1500.0
230880,1486.37,1480.8
202464,1486.27,1500.0
202622,1486.24,1480.8
221819,1486.18,1500.0
211846,1486.17,1500.0
214058,1486.16,1500.0
221975,1486.14,1500.0
205848,1486.14,1500.0
215878,1485.99,1500.0
204390,1485.97,1500.0
219310,1485.97,1500.0
210337,1485.95,1517.63
201599,1485.86,1484.45
211779,1485.85,1500.0
241735,1485.82,1500.0
222506,1485.81,1500.0
220573,1485.71,1500.0
202705,1485.61,1462.91
236956,1485.58,1500.0
211133,1485.5,1500.0
212903,1485.49,1500.0
222667,1485.42,1500.0
202900,1485.41,1500.0
222019,1485.41,1500.0
239436,1485.39,1500.0
216180,1485.3,1500.0
215151,1485.24,1500.0
201427,1485.22,1569.66
202539,1485.09,1500.0
259689,1485.02,1500.0
216062,1485.01,1500.0
211122,1484.95,1500.0
216150,1484.95,1500.0
201587,1484.81,1500.0
211456,1484.76,1500.0
214930,1484.76,1500.0
215196,1484.74,1500.0
221849,1484.74,1500.0
202647,1484.74,1500.0
222427,1484.74,1500.0
215696,1484.74,1500.0
221800,1484.74,1500.0
221836,1484.73,1500.0
201551,1484.72,1391.23
214418,1484.66,1500.0
223308,1484.63,1500.0
211031,1484.62,1480.8
221984,1484.61,1500.0
202611,1484.61,1500.0
215798,1484.44,1500.0
219625,1484.42,1500.0
221801,1484.42,1500.0
259914,1484.39,1500.0
238181,1484.32,1500.0
221407,1484.27,1500.0
212026,1484.25,1500.0
216587,1484.21,1500.0
222045,1484.21,1500.0
202488,1484.19,1500.0
221243,1484.19,1500.0
214641,1484.13,1500.0
214684,1484.12,1500.0
206390,1484.11,1500.0
214934,1484.03,1500.0
211856,1484.02,1500.0
216376,1484.0,1500.0
263849,1484.0,1500.0
215468,1484.0,1500.0
202614,1484.0,1500.0
214006,1484.0,1500.0
221289,1484.0,1500.0
215750,1484.0,1500.0
221846,1484.0,1500.0
212165,1484.0,1500.0
215755,1484.0,1500.0
223136,1484.0,1500.0
211043,1484.0,1500.0
203567,1484.0,1500.0
221850,1484.0,1500.0
223131,1483.97,1500.0
214638,1483.97,1500.0
221501,1483.88,1500.0
213780,1483.86,1500.0
201631,1483.84,1500.0
221000,1483.78,1500.0
239475,1483.73,1500.0
223129,1483.7,1500.0
